point_index,station_m_raw_direction,elevation_m,current_elevation_m,raise_m,modified,variant,geometry_source
242,317.247298300,4.322371042,0.727000000,3.595371042,1,center,constraint_reconstruction
243,318.000000000,4.364095579,0.770674598,3.593420982,1,center,constraint_reconstruction
244,319.246478632,4.433234873,0.843000000,3.590234873,1,center,constraint_reconstruction
245,320.000000000,4.459314156,0.870880831,3.588433325,1,center,constraint_reconstruction
246,321.246439882,4.502781090,0.917000000,3.585781090,1,center,constraint_reconstruction
247,322.000000000,4.506796163,0.922273376,3.584522787,1,center,constraint_reconstruction
248,323.247025796,4.514186579,0.931000000,3.583186579,1,center,constraint_reconstruction
249,324.000000000,4.585943918,1.002910430,3.583033488,1,center,constraint_reconstruction
250,325.246987045,4.706095975,1.122000000,3.584095975,1,center,constraint_reconstruction
251,326.000000000,4.798912247,1.213116333,3.585795914,1,center,constraint_reconstruction
252,327.246948295,4.954656251,1.364000000,3.590656251,1,center,constraint_reconstruction
253,328.000000000,5.025040458,1.429893301,3.595147157,1,center,constraint_reconstruction
254,329.246909545,5.144502551,1.539000000,3.605502551,1,center,constraint_reconstruction
255,330.000000000,5.335076885,1.721194515,3.613882370,1,center,constraint_reconstruction
256,331.247495459,5.654657211,2.023000000,3.631657211,1,center,constraint_reconstruction
257,332.000000000,5.850280532,2.205180763,3.645099770,1,center,constraint_reconstruction
258,333.246675791,6.179232094,2.507000000,3.672232094,1,center,constraint_reconstruction
259,334.000000000,6.334119885,2.642224316,3.691895570,1,center,constraint_reconstruction
260,335.246637040,6.596119701,2.866000000,3.730119701,1,center,constraint_reconstruction
261,336.000000000,6.703092494,2.946234710,3.756857784,1,center,constraint_reconstruction
262,337.246598290,6.886217987,3.079000000,3.807217987,1,center,constraint_reconstruction
263,338.000000000,7.076221683,3.234908479,3.841313203,1,center,constraint_reconstruction
264,339.247184204,7.396595911,3.493000000,3.903595911,1,center,constraint_reconstruction
265,340.000000000,7.787727911,3.843442543,3.944285368,1,center,constraint_reconstruction
266,341.247145454,8.440119355,4.424000000,4.016119355,1,center,constraint_reconstruction
267,342.000000000,8.595440297,4.534295328,4.061144969,1,center,constraint_reconstruction
268,343.247106703,8.854097223,4.717000000,4.137097223,1,center,constraint_reconstruction
269,344.000000000,8.998770165,4.816799263,4.181970902,1,center,constraint_reconstruction
270,345.246287036,9.234338183,4.982000000,4.252338183,1,center,constraint_reconstruction
271,346.000000000,9.317661109,5.027963026,4.289698083,1,center,constraint_reconstruction
272,347.246872950,9.443475436,5.104000000,4.339475436,1,center,constraint_reconstruction
273,348.000000000,9.504019170,5.145799361,4.358219809,1,center,constraint_reconstruction
274,348.858419066,9.560000000,5.193442542,4.366557458,1,center,constraint_reconstruction
275,349.246834199,9.579595991,5.215000000,4.364595991,1,center,constraint_reconstruction
276,350.000000000,9.606893621,5.255295151,4.351598470,1,center,constraint_reconstruction
277,351.246795449,9.630561718,5.322000000,4.308561718,1,center,constraint_reconstruction
278,352.000000000,9.714232513,5.440218482,4.274014031,1,center,constraint_reconstruction
279,353.247381363,9.842442288,5.636000000,4.206442288,1,center,constraint_reconstruction
280,354.000000000,9.731245690,5.568639327,4.162606363,1,center,constraint_reconstruction
281,355.247342613,9.544500580,5.457000000,4.087500580,1,center,constraint_reconstruction
282,356.000000000,9.392891136,5.350078831,4.042812305,1,center,constraint_reconstruction
283,357.246522945,9.144513563,5.173000000,3.971513563,1,center,constraint_reconstruction
284,358.000000000,9.231287996,5.299963344,3.931324653,1,center,constraint_reconstruction
285,359.246484194,9.380584975,5.510000000,3.870584975,1,center,constraint_reconstruction
286,360.000000000,9.543457090,5.705480084,3.837977006,1,center,constraint_reconstruction
287,361.247070108,9.820211978,6.029000000,3.791211978,1,center,constraint_reconstruction
288,362.000000000,9.991900382,6.224389093,3.767511289,1,center,constraint_reconstruction
289,363.247031358,10.283789055,6.548000000,3.735789055,1,center,constraint_reconstruction
290,364.000000000,10.431706397,6.710644378,3.721062019,1,center,constraint_reconstruction
291,365.246992608,10.683770268,6.980000000,3.703770268,1,center,constraint_reconstruction
292,366.000000000,10.850099798,7.152818545,3.697281253,1,center,constraint_reconstruction
293,367.246953857,11.131664688,7.439000000,3.692664688,1,center,constraint_reconstruction
294,368.000000000,11.320667357,7.627582812,3.693084545,1,center,constraint_reconstruction
295,369.247539771,11.638529179,7.940000000,3.698529179,1,center,constraint_reconstruction
296,370.000000000,11.771631730,8.067594301,3.704037428,1,center,constraint_reconstruction
297,371.246720104,11.995130876,8.279000000,3.716130876,1,center,constraint_reconstruction
298,372.000000000,12.180454277,8.456024206,3.724430071,1,center,constraint_reconstruction
299,373.246681353,12.487911391,8.749000000,3.738911391,1,center,constraint_reconstruction
300,374.000000000,12.677290732,8.930176645,3.747114087,1,center,constraint_reconstruction
301,375.246642603,12.988667226,9.230000000,3.758667226,1,center,constraint_reconstruction
302,376.000000000,13.177330626,9.414141938,3.763188688,1,center,constraint_reconstruction
303,377.247228517,13.484225508,9.719000000,3.765225508,1,center,constraint_reconstruction
304,378.000000000,13.668851674,9.907196517,3.761655157,1,center,constraint_reconstruction
305,379.247189767,13.965135046,10.219000000,3.746135046,1,center,constraint_reconstruction
306,380.000000000,14.146171921,10.416992928,3.729178993,1,center,constraint_reconstruction
307,381.247151016,14.431604739,10.745000000,3.686604739,1,center,constraint_reconstruction
308,382.000000000,14.602635674,10.952494933,3.650140740,1,center,constraint_reconstruction
309,383.246331348,14.865877747,11.296000000,3.569877747,1,center,constraint_reconstruction
310,384.000000000,15.004354301,11.497170596,3.507183706,1,center,constraint_reconstruction
311,385.246917263,15.207947363,11.830000000,3.377947363,1,center,constraint_reconstruction
312,386.000000000,15.303424787,12.020910173,3.282514614,1,center,constraint_reconstruction
313,387.246878512,15.430977994,12.337000000,3.093977994,1,center,constraint_reconstruction
314,388.000000000,15.252189433,12.291969824,2.960219608,1,center,constraint_reconstruction
315,390.000000000,14.702616069,12.172387057,2.530229012,1,center,constraint_reconstruction
316,392.000000000,14.043498469,12.052804289,1.990694180,1,center,constraint_reconstruction
317,394.000000000,13.291299391,11.933221521,1.358077870,1,center,constraint_reconstruction
318,396.000000000,12.488473631,11.813638754,0.674834877,1,center,constraint_reconstruction
319,398.000000000,11.713589886,11.694055986,0.019533900,1,center,constraint_reconstruction
320,398.067835631,11.690000000,11.690000000,0.000000000,0,center,constraint_reconstruction
321,412.504407092,12.020000000,12.020000000,0.000000000,0,center,constraint_reconstruction
322,427.847681560,15.600000000,15.600000000,0.000000000,0,center,constraint_reconstruction
323,450.404690266,16.590000000,16.590000000,0.000000000,0,center,constraint_reconstruction
324,472.844667483,16.640000000,16.640000000,0.000000000,0,center,constraint_reconstruction
325,490.059449411,19.920000000,19.920000000,0.000000000,0,center,constraint_reconstruction
326,499.791543623,23.300000000,23.300000000,0.000000000,0,center,constraint_reconstruction
327,510.535566272,23.300000000,23.300000000,0.000000000,0,center,constraint_reconstruction
328,514.492745489,19.840000000,19.840000000,0.000000000,0,center,constraint_reconstruction
329,531.643604399,19.290000000,19.290000000,0.000000000,0,center,constraint_reconstruction
