point_index,station_m_raw_direction,elevation_m,current_elevation_m,raise_m,modified,variant,geometry_source
279,358.000000000,9.297305223,5.299963344,3.997341879,1,local,constraint_reconstruction
280,359.246484194,9.477087702,5.510000000,3.967087702,1,local,constraint_reconstruction
281,360.000000000,9.659882214,5.705480084,3.954402130,1,local,constraint_reconstruction
282,361.247070108,9.971522577,6.029000000,3.942522577,1,local,constraint_reconstruction
283,362.000000000,10.164887294,6.224389093,3.940498201,1,local,constraint_reconstruction
284,363.247031358,10.493162598,6.548000000,3.945162598,1,local,constraint_reconstruction
285,364.000000000,10.662806482,6.710644378,3.952162104,1,local,constraint_reconstruction
286,365.246992608,10.949860151,6.980000000,3.969860151,1,local,constraint_reconstruction
287,366.000000000,11.136046302,7.152818545,3.983227757,1,local,constraint_reconstruction
288,367.246953857,11.447555147,7.439000000,4.008555147,1,local,constraint_reconstruction
289,368.000000000,11.651830202,7.627582812,4.024247390,1,local,constraint_reconstruction
290,369.247539771,11.989007898,7.940000000,4.049007898,1,local,constraint_reconstruction
291,370.000000000,12.128488470,8.067594301,4.060894168,1,local,constraint_reconstruction
292,371.246720104,12.351751516,8.279000000,4.072751516,1,local,constraint_reconstruction
293,372.000000000,12.527885183,8.456024206,4.071860977,1,local,constraint_reconstruction
294,373.246681353,12.802175789,8.749000000,4.053175789,1,local,constraint_reconstruction
295,374.000000000,12.957220205,8.930176645,4.027043560,1,local,constraint_reconstruction
296,375.246642603,13.184295233,9.230000000,3.954295233,1,local,constraint_reconstruction
297,376.000000000,13.301282574,9.414141938,3.887140636,1,local,constraint_reconstruction
298,377.247228517,13.450995688,9.719000000,3.731995688,1,local,constraint_reconstruction
299,378.000000000,13.513489984,9.907196517,3.606293467,1,local,constraint_reconstruction
300,379.247189767,13.558877077,10.219000000,3.339877077,1,local,constraint_reconstruction
301,380.000000000,13.556822694,10.416992928,3.139829766,1,local,constraint_reconstruction
302,381.247151016,13.486014434,10.745000000,2.741014434,1,local,constraint_reconstruction
303,382.000000000,13.412025437,10.952494933,2.459530504,1,local,constraint_reconstruction
304,383.246331348,13.225680008,11.296000000,1.929680008,1,local,constraint_reconstruction
305,384.000000000,13.075859588,11.497170596,1.578688993,1,local,constraint_reconstruction
306,385.246917263,12.791573868,11.830000000,0.961573868,1,local,constraint_reconstruction
